reaction	keff
NI2abcpp	65
TRDR	65
TRPS1_copy1	65
TRPS2	65
TRPS3	65
TRPTRS	65
TRPt2rpp	65
TRSARr	65
TRYPTAOX	65
TSULabcpp	65
TTDCAtexi	65
TTDCEAtexi	65
TTRCYCt5	65
TTRCYCt7pp	65
TTRCYCtpp	65
TUNGSabcpp	65
TYRTA	65
TYRTRS	65
TYRt2rpp	65
TYRtex	65
U23GAAT2_1	65
UAAGDS	65
UACGAMDH2	65
UAG2E	65
UAGAAT2_1	65
UAGCVT	65
UAGDP	65
UAGPT3	65
UAMAGS	65
UAMAS	65
UAPGR	65
UDCPDP	65
UDCPDPS	65
UDCPDPpp	65
UDCPGT_1	65
UDPG4E	65
UGLYCH	65
UGMDDS	65
UHBZ1t_pp	65
UHGADA2_1	65
UKQUIVORx	65
UKQUIVORy	65
UM3PL	65
UM4PCP	65
UM4PL	65
UMPK	65
UNK3	65
UPP3MT	65
UPP3S	65
UPPDC1	65
UPPN	65
UPPRT	65
UQUIVOT	65
URAt2pp	65
URCN	65
UREA	65
UREA2t2pp	65
UREAabcpp	65
UREAtpp	65
URO_c	65
URIDK2r	65
URIH	65
URItex	65
USHD1	65
VACCtex	65
VALDHr	65
VALTA	65
VALTRS_copy1	65
VALabcpp	65
VALt2rpp	65
VANKpp	65
VANLNtex	65
VANLTtex	65
VCOAD	65
VECOAH	65
VNDH	65
VNDH_2	65
VNDH_3	65
VNLNpp	65
VNTDM	65
WCOS	65
XAND	65
XANt2pp	65
XPPT	65
XTSNH	65
ZN2abcpp	65
ZN2t3pp	65
ZN2t4pp	65
ZN2t5	65
ZN2t6	65
ZNabcpp	65
pentso3abcpp	65
MEPCT_1	65
PRAIi_copy2	65
TRPS1_copy2	65
TAURabc	65
AGPOP	65
GLNS_copy2	65
PIabc	65
DHAD1_copy2	65
DMALRED	65
PRMICI_copy2	65
PTRCabc	65
PRAMPC_copy2	65
DHQTi_copy2	65
PRASCSi_copy2	65
G5SD_copy2	65
CTPS1	65
HEMEti	65
FOMETRi	65
HDH	65
PSCVT_copy2	65
ADD	65
APPAT	65
VALTRS_copy2	65
EAR121x	65
MOBDabc	65
ARGDI	65
THRD_L	65
IDPh_1	65
MAN1PT	65
MECDPS_copy2	65
PPRGL	65
SULabc	65
HMR_0180_copy2	65
GLUCYS_copy2	65
NDP8	65
AKGDb_copy2	65
SERAT_copy2	65
13PPDH2_1	65
2HESR	65
3HPTNCOAR	65
3PEPTabcpp	65
4HPTNCOAK	65
4HPTNCOAL	65
4HPTNtpp	65
4OXPTCOADHx	65
4OXPTCOADHy	65
4OXPTNtpp	65
4PEPTabcpp	65
4POPCOAM	65
4POPCOAM2	65
4POPCOAM3	65
ALDD2y	65
ALDD3y_copy2	65
AMALT1	65
ARGR	65
BVMO1	65
BVMO2	65
BVMO3	65
BVMO4	65
BVMO5	65
CHLP	65
CURR	65
DHCURR	65
ETHP	65
GAPDi_nadp	65
GLUTARH	65
KAT33	65
LEVUACOAL	65
METNA	65
MTSOXINACT	65
PPTRNACT	65
REPHACCOAT	65
SHGO	65
4OT	65
4OT2	65
4PCP	65
5APTNabcpp	65
5DH4DGLCD	65
6ATHAtexi	65
6HNACMO	65
6HNACt1pp	65
6HNACtex	65
A5PISO	65
AAC24DABA	65
AACOAT	65
AASAD3	65
ABTA	65
ABUTD	65
ABUTt2pp	65
ACACT1r	65
ACACt2pp	65
ACBIPGT	65
ACCOAC	65
ACGAMT	65
ACGK	65
ACGS	65
ACHBS	65
ACLS	65
ACOAD10f	65
ACOAD11f	65
ACOAD12f	65
ACOAD13f	65
ACOAD14f	65
ACOAD15f	65
ACOAD16f	65
ACOAD17f	65
ACOAD18f	65
ACOAD19f	65
ACOAD1f	65
ACOAD20f	65
ACOAD21f	65
ACOAD22f	65
ACOAD23f	65
ACOAD24f	65
ACOAD25f	65
ACOAD26f	65
ACOAD27f	65
ACOAD28f	65
ACOAD29f	65
ACOAD2f	65
ACOAD30f	65
ACTD2	65
ACt4pp	65
ACt5pp	65
ADA	65
ADCL	65
ADCPS1	65
ADCPS2	65
ADCS	65
ADCYRS	65
ADEt2rpp	65
ADK1	65
ADK3	65
ADK4	65
ADNCYC	65
ADNK1	65
ADNUC	65
ADNtex	65
ADOCBIK	65
ADOCBLS	65
ADOCBLabcpp	65
ADOCBLtonex	65
ADPRDP	65
ADPT	65
ADSELK	65
ADSELR	65
ADSELR2	65
ADSK	65
ADSL1r	65
ADSL2r	65
ADSS	65
AEPabcpp	65
AEPTA	65
AGM3PA	65
AGM3PApp	65
AGM3PH	65
AGM3Pt2pp	65
AGM4PA	65
AGM4PApp	65
AGM4PCP	65
AGM4PH	65
AGM4Pt2pp	65
AGMDA	65
AGMH	65
AGMHE	65
AGMT	65
AGMt2pp	65
AGPAT120	65
AGPAT140	65
AGPAT141	65
AGPAT160	65
AGPAT161	65
AGPAT180	65
AGPAT181	65
AGPR	65
AGt3	65
AHCi	65
AHSERL2	65
AICART	65
AIRC2	65
AIRC3	65
AKGDH	65
AKGDa	65
AKGDb_copy1	65
AKGt2rpp	65
ALAALAabcpp	65
ALAALAr	65
ALAALAtex	65
ALAGLUabcpp	65
ALAHISabcpp	65
ALAHIStex	65
ALALEUabcpp	65
ALALEUtex	65
ALAR	65
ALATA_L	65
ALATHRabcpp	65
ALATHRtex	65
ALATRPabcpp	65
ALATRPtex	65
ALATRS	65
ALAabcpp	65
ALAt2pp	65
ALAt4pp	65
ALCD19	65
ALCD2x	65
ALCDpp	65
ALDD1	65
ALDD19xr	65
ALDD20x	65
ALDD2x	65
ALGAC1	65
ALGAC2	65
ALGAC3	65
ALGAC4	65
ALGAC5	65
ALGE1	65
ALGE2	65
ALGE3	65
ALGE4	65
ALGE5	65
ALGE6	65
ALGE7	65
ALGE8	65
ASPTA	65
ASPTRS	65
ASPabcpp	65
ASPt2pp	65
ASR	65
AST	65
ATHRDHr	65
ATPPRT	65
ATPS4rpp	65
BACCL	65
BALAALAabcpp	65
BALAALAtex	65
BALABALAabcpp	65
BALABALAtex	65
BALAGLYabcpp	65
BALAGLYtex	65
BALALEUabcpp	65
BALALEUtex	65
BALAMDAH	65
BALAt2pp	65
BDH	65
BETALDHx	65
BETALDHy	65
BGLApp	65
BHBtpp	65
BLAMDabcpp	65
BLAMDtex	65
BLUB	65
BMOCOS	65
BMOGDS1	65
BMOGDS2	65
BPNT	65
BTDD_RR	65
BTS5	65
BUP	65
BUTSO3abcpp	65
BUTSO3tex	65
BWCOGDS1	65
BWCOGDS2	65
BWCOS	65
BZ12DOX	65
CHOLt4ipp	65
CHORM	65
CHORS	65
CHRPL	65
CITt4pp_1	65
CITt_kt	65
CITtex	65
CLPNS120pp	65
CLPNS140pp	65
CLPNS141pp	65
CLPNS160pp	65
CLPNS161pp	65
CLPNS180pp	65
CLPNS181pp	65
CLt3_2pp	65
CMCBTFabcpp	65
CMCBTFtonex	65
CYTOM	65
CMt2ex	65
CMtexabc	65
CMtpp	65
COALCDH	65
COALDDH	65
COBALT2t3pp	65
COBALT2tpp	65
COBALTt4pp	65
R05217_nad	65
COCHL	65
COCOAHA	65
COLIPAabcpp_kt	65
CPH4S	65
CPMPS	65
CPPPGO	65
DAAD11	65
DAAD12	65
DAAD2	65
DAAD3	65
DAAD4	65
DAAD5	65
PHET	65
DAAD7	65
DAAD8	65
DABAAT2	65
DADA	65
DADK	65
DAGK120	65
DAGK140	65
DAGK141	65
DAGK160	65
DAGK161	65
DAGK180	65
DAGK181	65
DAGLIPA160ex	65
DAGLIPA180ex	65
DAGLIPA181d9ex	65
DAGLIPA182d9d12ex	65
DALAALAD	65
DALADALAD	65
DALAGLYD	65
DALALEUD	65
DALAabcpp	65
DALAt2pp	65
DAPDC	65
DAPE	65
DASYN120	65
DASYN140	65
DASYN141	65
DASYN160	65
DASYN161	65
DASYN180	65
DASYN181	65
DB4PS	65
DBTS	65
DCAtex	65
DCTPD	65
DCTPD2	65
DDCAtexi	65
DDGLK	65
DDPA	65
DESATPE160	65
DESATPG160	65
DGK1	65
DNTAep	65
DOPDH	65
DORNabcpp	65
DPCOAK	65
DPR	65
DSBAO1	65
DSBCGT	65
DSBDR	65
DSBGGT	65
DSERt2pp	65
DURAD	65
DURAD2	65
DUTPDP	65
DVALabcpp	65
DXPRIi	65
DXPS	65
D_LACt2pp	65
E4PD	65
HBCE	65
ECOAH1	65
ECOAH14	65
ECOAH15	65
ECOAH16	65
ECOAH17	65
ECOAH18	65
ECOAH19	65
ECOAH2	65
3HAD161	65
3HAD180	65
3HAD181	65
3HAD40	65
3HAD60	65
3HAD80	65
HBCHLR	65
3HLYTCL	65
3MBZALDH	65
3MBZDH	65
3OADPCOAT	65
3OAR100	65
3OAR120	65
3OAR121	65
3OAR140	65
3OAR141	65
3OAR160	65
3OAR161	65
3OAR180	65
3OAR181	65
3OAR40	65
3OAR60	65
3OAR80	65
3OAS100	65
3OAS120	65
3OAS121	65
3OAS140	65
3OAS141	65
3OAS160	65
3OAS161	65
3OAS180	65
3OAS181	65
3OAS60	65
3OAS80	65
3OXCOAT	65
3OXOADPt_pp	65
3_4DHBZ1t_pp	65
3_4DHBZt2	65
4ABUTabcpp	65
4CMCOAS	65
4CMLCL_kt	65
4HBHYOX	65
4HBZtex	65
4HDPROO	65
4HPRODCabcpp	65
4HPROE	65
4HPROLTabcpp	65
4HTHRS	65
hemeD_synthesis	65
SPMPS	65
APCS	65
MTAN	65
5MTRtex	65
14BDAL	65
BUT1OATE	65
HBSUCC	65
HYSUCC	65
ACSUCC	65
HYBUAC	65
HBCOA	65
HBCROA	65
HYBUT	65
43RYLKETO	65
GLYACE	65
