,maximum,minimum
3HAD140_REV_G1G01-1699-MONOMER,0.0,0.0
3HAD140_FWD_G1G01-1699-MONOMER,0.015610125253421826,0.0
3HAD141_REV_G1G01-4440-MONOMER,0.0,0.0
3HAD141_FWD_G1G01-4440-MONOMER,0.08312373433092417,0.05423276194136602
3HAD141_REV_G1G01-1699-MONOMER,0.0,0.0
3HAD141_FWD_G1G01-1699-MONOMER,0.02881750342967313,0.0
ACOAD31f_REV_G1G01-2003-MONOMER,0.019058223664704187,0.0
ACOAD31f_FWD_G1G01-2003-MONOMER,0.019058223664704187,0.0
ACOAD32f_REV_G1G01-2003-MONOMER,0.019058223664704187,0.0
ACOAD32f_FWD_G1G01-2003-MONOMER,0.019058223664704187,0.0
ACOAD33f_REV_G1G01-2003-MONOMER,0.019058223664704187,0.0
ACOAD33f_FWD_G1G01-2003-MONOMER,0.019058223664704187,0.0
ACOAD34f_REV_G1G01-2003-MONOMER,0.019058223664704187,0.0
ACOAD34f_FWD_G1G01-2003-MONOMER,0.019058223664704187,0.0
ACOAD3f_REV_G1G01-2175-MONOMER,0.018913264274421682,0.0
ACOAD3f_FWD_G1G01-2175-MONOMER,0.018913264274421682,0.0
ACOAD3f_REV_G1G01-2185-MONOMER,0.016851280443442532,0.0
ACOAD3f_FWD_G1G01-2185-MONOMER,0.016851280443442532,0.0
ACOAD3f_REV_G1G01-2003-MONOMER,0.019058223664704187,0.0
ACOAD3f_FWD_G1G01-2003-MONOMER,0.019058223664704187,0.0
ACOAD4f_REV_G1G01-2175-MONOMER,0.029885841743123684,0.0
ACOAD4f_FWD_G1G01-2175-MONOMER,0.029885841743123684,0.0
ACOAD4f_REV_G1G01-2185-MONOMER,0.024651175859869808,0.0
ACOAD4f_FWD_G1G01-2185-MONOMER,0.024651175859869808,0.0
ACOAD4f_REV_G1G01-2003-MONOMER,0.03024940481941537,0.0
ACOAD4f_FWD_G1G01-2003-MONOMER,0.03024940481941537,0.0
ACOAD4f_REV_G1G01-2602-MONOMER,0.07328038739339562,0.0
ACOAD4f_FWD_G1G01-2602-MONOMER,0.07328038739339562,0.0
ACOAD5f_REV_G1G01-2175-MONOMER,0.029885841743123684,0.0
ACOAD5f_FWD_G1G01-2175-MONOMER,0.029885841743123684,0.0
ACOAD5f_REV_G1G01-2185-MONOMER,0.02465117585986981,0.0
ACOAD5f_FWD_G1G01-2185-MONOMER,0.02465117585986981,0.0
ACOAD5f_REV_G1G01-2003-MONOMER,0.03024940481941537,0.0
ACOAD5f_FWD_G1G01-2003-MONOMER,0.03024940481941537,0.0
ACOAD5f_REV_G1G01-2602-MONOMER,0.07328038739339562,0.0
ACOAD5f_FWD_G1G01-2602-MONOMER,0.07328038739339562,0.0
ACOAD6f_REV_G1G01-2175-MONOMER,0.029885841743123687,0.0
ACOAD6f_FWD_G1G01-2175-MONOMER,0.029885841743123687,0.0
ACOAD6f_REV_G1G01-2185-MONOMER,0.02465117585986981,0.0
ACOAD6f_FWD_G1G01-2185-MONOMER,0.02465117585986981,0.0
ACOAD6f_REV_G1G01-2003-MONOMER,0.03024940481941537,0.0
ACOAD6f_FWD_G1G01-2003-MONOMER,0.03024940481941537,0.0
ACOAD6f_REV_G1G01-2602-MONOMER,0.07328038739339562,0.0
ACOAD6f_FWD_G1G01-2602-MONOMER,0.07328038739339562,0.0
ACOAD7f_REV_CPLX1G01-171,0.04027664971506015,0.0
ACOAD7f_FWD_CPLX1G01-171,0.040276649715060064,0.0
ACOAD7f_REV_G1G01-2003-MONOMER,0.02587353288248012,0.0
ACOAD7f_FWD_G1G01-2003-MONOMER,0.025873532882480003,0.0
ACOAD8f_REV_CPLX1G01-171,0.040276649715060064,0.0
ACOAD8f_FWD_CPLX1G01-171,0.040276649715060064,0.0
ACOAD8f_REV_G1G01-2003-MONOMER,0.025873532882480003,0.0
ACOAD8f_FWD_G1G01-2003-MONOMER,0.025873532882480003,0.0
ACOADH1_REV_CPLX_dummy,0.0,0.0
ACOADH1_FWD_CPLX_dummy,2.8258463491288884e-05,0.0
ACOADH2_REV_CPLX_dummy,0.0,0.0
ACOADH2_FWD_CPLX_dummy,2.3416402514189894e-05,-3.950952065546113e-39
ACOATA_REV_CPLX_ACOATA-0,0.28943316083649046,0.0
ACOATA_FWD_CPLX_ACOATA-0,0.2894336876697774,0.11087769602453126
ACODA_REV_G1G01-1434-MONOMER,0.0,0.0
ACODA_FWD_G1G01-1434-MONOMER,0.04365532380093992,0.0
ACODA_REV_G1G01-5532-MONOMER_mod_zn2(1),0.0,0.0
ACODA_FWD_G1G01-5532-MONOMER_mod_zn2(1),0.16535227887343054,0.12157115424316471
ACONCt4pp_REV_CPLX_ACONCt4pp-0,0.0,0.0
ACONCt4pp_FWD_CPLX_ACONCt4pp-0,0.0,0.0
ACONCtex_REV_G1G01-1511-MONOMER,0.10447866682635323,0.0
ACONCtex_FWD_G1G01-1511-MONOMER,0.10447866682635323,0.0
ACONCtex_REV_G1G01-2196-MONOMER,0.08246343943602999,0.0
ACONCtex_FWD_G1G01-2196-MONOMER,0.08246343943602999,0.0
ACONIs_REV_CPLX_dummy,0.09033546854716673,0.0
ACONIs_FWD_CPLX_dummy,0.09033546854716673,0.0
ACONMT_REV_G1G01-2728-MONOMER,0.0,0.0
ACONMT_FWD_G1G01-2728-MONOMER,0.0,0.0
ACONTa_REV_G1G01-2500-MONOMER_mod_4fe4s(1),0.018710274010878936,0.0
ACONTa_FWD_G1G01-2500-MONOMER_mod_4fe4s(1),0.08620460176397671,0.0
ACONTa_REV_G1G01-2252-MONOMER_mod_4fe4s(1),0.023896996587667682,0.0
ACONTa_FWD_G1G01-2252-MONOMER_mod_4fe4s(1),3.6248459699556763,3.5147436381873907
ACONTb_REV_G1G01-2500-MONOMER_mod_4fe4s(1),0.018710274010878936,0.0
ACONTb_FWD_G1G01-2500-MONOMER_mod_4fe4s(1),0.08620460176397672,0.0
ACONTb_REV_G1G01-2252-MONOMER_mod_4fe4s(1),0.023896996587667682,0.0
ACONTb_FWD_G1G01-2252-MONOMER_mod_4fe4s(1),3.6248459699556763,3.5147436381873907
ACOTA_REV_G1G01-4782-MONOMER_mod_pydx5p(1),0.16796786648450976,0.16517123869009845
ACOTA_FWD_G1G01-4782-MONOMER_mod_pydx5p(1),0.0027388298892191505,0.0
ACPPAT120_REV_CPLX_ACPPAT120-0,0.0,0.0
ACPPAT120_FWD_CPLX_ACPPAT120-0,-2.324269202047232e-25,0.0
ACPPAT140_REV_CPLX_ACPPAT120-0,0.0,0.0
ACPPAT140_FWD_CPLX_ACPPAT120-0,0.00018102131156972967,0.0
ACPPAT141_REV_CPLX_ACPPAT120-0,0.0,0.0
ACPPAT141_FWD_CPLX_ACPPAT120-0,2.722841402932592e-25,0.0
ACPPAT160_REV_CPLX_ACPPAT120-0,0.0,0.0
ACPPAT160_FWD_CPLX_ACPPAT120-0,0.005727637020885263,0.0
ACPPAT161_REV_CPLX_ACPPAT120-0,0.0,0.0
ACPPAT161_FWD_CPLX_ACPPAT120-0,0.028624233596850512,0.0
ACPPAT180_REV_CPLX_ACPPAT120-0,0.0,0.0
ACPPAT180_FWD_CPLX_ACPPAT120-0,0.0019080177262027105,0.0
ACPPAT181_REV_CPLX_ACPPAT120-0,0.0,0.0
ACPPAT181_FWD_CPLX_ACPPAT120-0,0.012925641296727308,0.0
ACPS1_REV_G1G01-1265-MONOMER,0.0,0.0
ACPS1_FWD_G1G01-1265-MONOMER,1.7724362767920354e-06,4.1940800786351776e-30
ACS_REV_G1G01-5023-MONOMER,0.0,0.0
ACS_FWD_G1G01-5023-MONOMER,0.2651303324721624,0.0
ACS_REV_G1G01-4789-MONOMER,0.0,0.0
ACS_FWD_G1G01-4789-MONOMER,0.228769920041606,0.0
ACS_REV_G1G01-3264-MONOMER,0.0,0.0
ACS_FWD_G1G01-3264-MONOMER,0.2651456959072944,0.0
ACS2_REV_G1G01-2513-MONOMER,0.0,0.0
ACS2_FWD_G1G01-2513-MONOMER,0.0076311452006777285,0.0
ACSERtex_REV_CPLX_dummy,0.09033546854716673,0.0
ACSERtex_FWD_CPLX_dummy,0.09033546854716673,0.0
ACSERtpp_REV_G1G01-3051-MONOMER,0.0,0.0
ACSERtpp_FWD_G1G01-3051-MONOMER,7.447014355735153e-06,-1.8787820087815584e-39
ACSPHAC100_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC100_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.00012340372307880068,0.0
ACSPHAC100_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC100_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC100_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC100_FWD_G1G01-4858-MONOMER,0.00012409798910408955,0.0
ACSPHAC101_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC101_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC101_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC101_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC101_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC101_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC120_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC120_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC120_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC120_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC120_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC120_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC121_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC121_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.00012340372307880068,0.0
ACSPHAC121_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC121_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC121_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC121_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC121d6_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC121d6_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC121d6_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC121d6_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC121d6_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC121d6_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC140_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC140_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC140_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC140_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC140_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC140_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC141_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC141_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC141_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC141_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC141_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC141_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC141d5_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC141d5_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC141d5_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC141d5_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC141d5_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC141d5_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC142_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC142_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC142_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC142_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC142_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC142_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC160_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC160_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.00012311665446950639,0.0
ACSPHAC160_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC160_FWD_G1G01-840-MONOMER,0.00012424608507477237,0.0
ACSPHAC160_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC160_FWD_G1G01-4858-MONOMER,0.00012380768512741948,0.0
ACSPHAC40_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC40_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC40_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC40_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC40_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC40_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC50_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC50_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC50_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC50_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC50_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC50_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC60_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
