,Gene Name,Model,Experiment,ME
PP_0836,,,,0
PP_0834,,,,0
PP_0839,,,,0
PP_0838,,,,1
PP_0843,,,,0
PP_0842,,,,0
PP_0844,,,,1
PP_0849,,,,1
PP_0853,,,,0
PP_0847,,,,0
PP_0850,,,,0
PP_0864,,,,1
PP_0860,,,,0
PP_0854,,,,0
PP_0867,,,,1
PP_0868,,,,1
PP_0869,,,,1
PP_0870,,,,1
PP_0871,,,,1
PP_0873,,,,1
PP_0872,,,,0
PP_0878,,,,1
PP_0879,,,,1
PP_0880,,,,1
PP_0881,,,,1
PP_0882,,,,1
PP_0883,,,,1
PP_0885,,,,1
PP_0884,,,,1
PP_0920,,,,1
PP_0897,,,,1
PP_0914,,,,1
PP_0922,,,,1
PP_0915,,,,1
PP_0926,,,,1
PP_0927,,,,1
PP_0928,,,,1
PP_0937,,,,0
PP_0931,,,,0
PP_0930,,,,0
PP_0936,,,,1
PP_0953,,,,0
PP_0932,,,,0
PP_0944,,,,1
PP_0946,,,,1
PP_0954,,,,0
PP_0955,,,,0
PP_0956,,,,0
PP_0957,,,,1
PP_0964,,,,0
PP_0960,,,,1
PP_0958,,,,1
PP_0959,,,,1
PP_0965,,,,0
PP_0970,,,,1
PP_0976,,,,0
PP_0966,,,,0
PP_0967,,,,0
PP_0977,,,,0
PP_0980,,,,1
PP_0982,,,,0
PP_0983,,,,0
PP_0986,,,,1
PP_0988,,,,1
PP_0999,,,,1
PP_0996,,,,1
PP_0989,,,,1
PP_0987,,,,1
PP_1000,,,,0
PP_1001,,,,1
PP_1005,,,,1
PP_1003,,,,1
PP_1002,,,,1
PP_1014,,,,1
PP_1011,,,,1
PP_1006,,,,1
PP_1009,,,,1
PP_1015,,,,1
PP_1017,,,,1
PP_1016,,,,1
PP_1018,,,,1
PP_1019,,,,1
PP_1022,,,,1
PP_1023,,,,1
PP_1031,,,,1
PP_1032,,,,0
PP_1041,,,,1
PP_1040,,,,1
PP_1037,,,,0
PP_1059,,,,1
PP_1068,,,,1
PP_1069,,,,1
PP_1071,,,,1
PP_1073,,,,1
PP_1070,,,,1
PP_1075,,,,1
PP_1076,,,,1
PP_1082,,,,1
PP_1078,,,,0
PP_1085,,,,1
PP_1100,,,,1
PP_1086,,,,0
PP_1097,,,,0
PP_1110,,,,1
PP_1132,,,,1
PP_1138,,,,1
PP_1137,,,,1
PP_1129,,,,0
PP_1139,,,,1
PP_1140,,,,1
PP_1141,,,,1
PP_1144,,,,1
PP_1156,,,,1
PP_1167,,,,1
PP_1157,,,,1
PP_1160,,,,1
PP_1171,,,,1
PP_1177,,,,0
PP_1168,,,,1
PP_1169,,,,1
PP_1179,,,,0
PP_1173,,,,1
PP_1183,,,,1
PP_1205,,,,0
PP_1200,,,,1
PP_1188,,,,1
PP_1213,,,,0
PP_1206,,,,1
PP_1225,,,,0
PP_1235,,,,1
PP_1226,,,,0
PP_1229,,,,1
PP_1251,,,,1
PP_1240,,,,0
PP_1256,,,,1
PP_1254,,,,1
PP_1255,,,,1
PP_1258,,,,1
PP_1257,,,,1
PP_1259,,,,1
PP_1277,,,,1
PP_1278,,,,1
PP_1279,,,,1
PP_1280,,,,1
PP_1283,,,,1
PP_1284,,,,1
PP_1281,,,,1
PP_1282,,,,1
PP_1285,,,,1
PP_1286,,,,1
PP_1287,,,,1
PP_1292,,,,0
PP_1293,,,,0
PP_1288,,,,1
PP_1294,,,,0
PP_1298,,,,1
PP_1295,,,,0
PP_1311,,,,0
PP_1297,,,,1
PP_1300,,,,1
PP_1299,,,,1
PP_1308,,,,1
PP_1315,,,,0
PP_1323,,,,0
PP_1318,,,,1
PP_1317,,,,1
PP_1316,,,,0
PP_1319,,,,1
PP_1332,,,,0
PP_1326,,,,1
PP_1329,,,,1
PP_1331,,,,1
PP_1334,,,,0
PP_1333,,,,0
PP_1335,,,,0
PP_1336,,,,0
PP_1337,,,,0
PP_1343,,,,0
PP_1339,,,,1
PP_1345,,,,0
PP_1338,,,,1
PP_1351,,,,1
PP_1346,,,,1
PP_1355,,,,1
PP_1367,,,,1
PP_1361,,,,0
PP_1360,,,,0
PP_1362,,,,1
PP_1377,,,,1
PP_1373,,,,1
PP_1376,,,,1
PP_1378,,,,1
PP_1379,,,,1
PP_1380,,,,1
PP_1381,,,,1
PP_1382,,,,1
PP_1383,,,,1
PP_1384,,,,1
PP_1394,,,,1
PP_1385,,,,1
PP_1386,,,,1
PP_1400,,,,1
PP_1403,,,,1
PP_1407,,,,1
PP_1408,,,,1
PP_1409,,,,0
PP_1412,,,,1
PP_1414,,,,1
PP_1416,,,,1
PP_1417,,,,1
PP_1433,,,,0
PP_1418,,,,1
PP_1419,,,,1
PP_1426,,,,0
PP_1434,,,,0
PP_1444,,,,1
PP_1457,,,,1
PP_1445,,,,1
PP_1436,,,,0
PP_1461,,,,0
PP_1463,,,,0
PP_1464,,,,0
PP_1465,,,,0
PP_1462,,,,0
PP_1469,,,,1
PP_1478,,,,1
PP_1481,,,,1
PP_1470,,,,1
PP_1471,,,,1
PP_1484,,,,1
PP_1494,,,,1
PP_1495,,,,0
PP_1496,,,,0
PP_1505,,,,1
PP_1506,,,,1
PP_1520,,,,1
PP_1524,,,,0
PP_1525,,,,0
PP_1528,,,,1
PP_1588,,,,1
PP_1529,,,,1
PP_1587,,,,1
PP_1590,,,,0
PP_1593,,,,1
PP_1595,,,,0
PP_1592,,,,0
PP_1596,,,,0
PP_1594,,,,0
PP_1591,,,,0
PP_1601,,,,0
PP_1597,,,,0
PP_1603,,,,0
PP_1602,,,,0
PP_1604,,,,0
PP_1607,,,,0
PP_1614,,,,0
PP_1618,,,,0
PP_1611,,,,1
PP_1610,,,,0
PP_1612,,,,0
PP_1617,,,,1
PP_1616,,,,1
PP_1625,,,,0
PP_1620,,,,1
PP_1628,,,,1
PP_1636,,,,0
PP_1638,,,,0
PP_1645,,,,1
PP_1641,,,,0
PP_1656,,,,1
PP_1655,,,,0
PP_1649,,,,1
PP_1654,,,,1
PP_1672,,,,0
PP_1657,,,,1
PP_1673,,,,0
PP_1664,,,,1
PP_1674,,,,0
PP_1665,,,,0
PP_1678,,,,0
PP_1679,,,,0
PP_1675,,,,0
PP_1676,,,,0
PP_1680,,,,0
PP_1677,,,,0
PP_1681,,,,0
PP_1686,,,,1
PP_1689,,,,1
PP_1700,,,,1
PP_1703,,,,1
PP_1705,,,,1
PP_1710,,,,1
PP_1706,,,,1
PP_1722,,,,1
PP_1735,,,,1
PP_1741,,,,1
PP_1743,,,,1
PP_1755,,,,1
PP_1750,,,,1
PP_1765,,,,0
PP_1764,,,,1
PP_1761,,,,1
PP_1766,,,,1
PP_1768,,,,0
PP_1771,,,,1
PP_1777,,,,1
PP_1772,,,,0
PP_1776,,,,1
PP_1782,,,,1
PP_1779,,,,1
PP_1778,,,,1
PP_1783,,,,1
PP_1784,,,,1
PP_1785,,,,1
PP_1799,,,,1
PP_1803,,,,0
PP_1804,,,,0
PP_1805,,,,0
PP_1801,,,,1
PP_1800,,,,1
PP_1802,,,,1
PP_1806,,,,1
PP_1807,,,,1
PP_1811,,,,1
